Pid,District,State,Area_km2,Population
1,Adilabad,Andhra Pradesh,16105,2741239
2,Agra,Uttar Pradesh,4041,4418797
3,Ahmadabad,Gujarat,8107,7214225
4,Ahmadnagar,Maharashtra,17048,4543159
5,Aizawl,Mizoram,3576,400309
6,Ajmer,Rajasthan,8481,2583052
7,Akola,Maharashtra,5676,1813906
8,Alappuzha,Kerala,1415,2127789
9,Aligarh,Uttar Pradesh,3650,3673889
10,Alirajpur,Madhya Pradesh,3182,728999
11,Allahabad,Uttar Pradesh,5482,5954391
12,Almora,Uttarakhand,3144,622506
13,Alwar,Rajasthan,8380,3674179
14,Ambala,Haryana,1574,1128350
15,Ambedkar Nagar,Uttar Pradesh,2350,2397888
16,Amravati,Maharashtra,12210,2888445
17,Amreli,Gujarat,7397,1514190
18,Amritsar,Punjab,2683,2490656
19,Anand,Gujarat,3204,2092745
20,Anantapur,Arunachal Pradesh,6190,21167
21,Anantnag,Andhra Pradesh,19130,4081148
22,Anjaw,Jammu and Kashmir,3574,1078692
23,Anugul,Orissa,6375,1273821
24,Anuppur,Madhya Pradesh,3747,749237
25,Araria,Bihar,2830,2811569
26,Ariyalur,Tamil Nadu,1756,565223
27,Arwal,Bihar,638,700843
28,Ashoknagar,Madhya Pradesh,4674,845071
29,Auraiya,Uttar Pradesh,2016,1379545
30,Aurangabad,Maharashtra,3305,2540073
31,Aurangabad,Maharashtra,10107,3701282
32,Azamgarh,Uttar Pradesh,4054,4613913
33,Badgam,Jammu and Kashmir,1361,753745
34,Bagalkot,Karnataka,6552,1889752
35,Bageshwar,Uttarakhand,2241,259898
36,Baghpat,Uttar Pradesh,1321,1303048
37,Bahraich,Uttar Pradesh,5237,3487731
38,Baksa,Assam,2457,950075
39,Balaghat,Madhya Pradesh,9229,1701698
40,Balangir,Orissa,6575,1648997
41,Baleshwar,Orissa,3806,2320529
42,Ballia,Uttar Pradesh,2981,3239774
43,Balrampur,Uttar Pradesh,3349,2148665
44,Banaskantha,Gujarat,10743,3120506
45,Banda,Uttar Pradesh,4408,1799410
46,Bandipora,Jammu and Kashmir,345,392232
47,Bangalore,Karnataka,2196,9621551
48,Bangalore Rural,Karnataka,2298,990923
49,Banka,Bihar,3020,2034763
50,Bankura,West Bengal,6882,3596674
51,Banswara,Rajasthan,4522,1797485
52,Barabanki,Uttar Pradesh,4402,3260699
53,Baramula,Jammu and Kashmir,4243,1008039
54,Baran,Rajasthan,6992,1222755
55,Barddhaman,West Bengal,7024,7717563
56,Bareilly,Uttar Pradesh,4120,4448359
57,Bargarh,Orissa,5837,1481255
58,Barmer,Rajasthan,28387,2603751
